Label,Message
1,"Win a free iPhone now!! Click here to claim your prize."
1,"URGENT! You have won a $1000 Walmart gift card. Call now."
1,"Congratulations! You've been selected for a luxury cruise. Reply YES."
1,"Your bank account has been compromised. Log in at http://fakebank.com to secure it."
1,"Get rich quick! Work from home and earn $5000 a day. No experience needed."
1,"LOAN OFFER: Get an instant loan at 0% interest. Apply inside."
1,"Cheap pharmacy: buy medications online without prescription."
1,"You have one unread message from a secret admirer. Pay $5 to read."
1,"Hot singles in your area want to meet you. Join now!"
1,"Final Notice: Your subscription will expire today. Update payment info."
0,"Hi, just checking in to see if you received the files I sent."
0,"The meeting tomorrow is at 10:00 AM in the conference room."
0,"Can you please pick up some milk on your way home?"
0,"Happy birthday! I hope you have a fantastic day today."
0,"Thanks for the help yesterday, I really appreciate it."
0,"Let's go for lunch at that new Italian place down the street."
0,"I'll be a bit late for the call, please start without me."
0,"Attached is the draft of the project proposal for your review."
0,"Did you see the latest episode of that show we were talking about?"
0,"I'm heading out now, see you at the gym in 20 minutes."
1,"Your PayPal account has a new security alert. Resolution required."
1,"Act now! Limited time offer on high-quality luxury watches."
1,"Invest in crypto now and double your money in 24 hours!"
0,"The weather forecast says it might rain this afternoon."
0,"Can you remind me of the name of that restaurant we liked?"
0,"I finished the report, it's on your desk."
0,"See you at the soccer game tonight!"
1,"Winner! Your mobile number has won a cash prize of £500,000."
1,"Verify your Apple ID now to avoid permanent lockout."
0,"I've sent the invitation for the housewarming party."
1,"Free Entry into our £1000 Weekly Draw! Text PLAY to 8007."
0,"Just wanted to say thanks for the lovely dinner last night."
0,"Are you coming to the team outing this Friday?"
1,"Urgent Customer Service Notice: Contact us immediately regarding your shipment."
0,"I'll send the updated slides by EOD today."
